Query	Document	Answer
How does the arbiter handle displacement of pieces?	"It is very important that the irregularity must be discovered during the game. After the players have signed the scoresheets or it is clear in another way that the game is over, corrections are not possible. The result stands.
When the irregularity is discovered during the game the game, the game restarts from the restored position. The 'touch move' rule applies so the piece to be played should be, if possible, the one first touched, either the piece illegally moved or the piece captured.
If the irregularity was caused by a check being missed the touched piece should be used to block the check or capture the checking piece, if possible.
A move cannot be declared illegal until the player has completed his/her move by pressing his/her clock. So, the player can correct his/her move without being penalized, even if he/she had already released the piece on the board, provided he/she hasn't pressed the clock. Of course, he/she must comply with the relevant parts of article 4.
If an arbiter observes an illegal move he/she must always intervene immediately. He/She should not wait for a claim to be submitted by a player.
- 7.5.2 If the player has moved a pawn to the furthest distant rank, pressed the clock, but not replaced the pawn with a new piece, the move is illegal. The pawn shall be replaced by a queen of the same colour as the pawn.
- 7.5.3 If the player presses the clock without making a move, it shall be considered and penalised as if an illegal move.
If a player restarts the opponent's clock instead of pausing it an arbiter may regard this as an accident and punish it less severely.
For example: Player B makes an illegal move. Player A, instead of pausing the clock, restarts the opponent's clock. Is this an infringement of Article 7.5.3?"	"It is very important that the irregularity must be discovered during the game. After the players have signed the scoresheets or it is clear in another way that the game is over, corrections are not possible. The result stands.
When the irregularity is discovered during the game the game, the game restarts from the restored position. The 'touch move' rule applies so the piece to be played should be, if possible, the one first touched, either the piece illegally moved or the piece captured.
If the irregularity was caused by a check being missed the touched piece should be used to block the check or capture the checking piece, if possible.
A move cannot be declared illegal until the player has completed his/her move by pressing his/her clock. So, the player can correct his/her move without being penalized, even if he/she had already released the piece on the board, provided he/she hasn't pressed the clock. Of course, he/she must comply with the relevant parts of article 4.
If an arbiter observes an illegal move he/she must always intervene immediately. He/She should not wait for a claim to be submitted by a player.
- 7.5.2 If the player has moved a pawn to the furthest distant rank, pressed the clock, but not replaced the pawn with a new piece, the move is illegal. The pawn shall be replaced by a queen of the same colour as the pawn.
- 7.5.3 If the player presses the clock without making a move, it shall be considered and penalised as if an illegal move.
If a player restarts the opponent's clock instead of pausing it an arbiter may regard this as an accident and punish it less severely.
For example: Player B makes an illegal move. Player A, instead of pausing the clock, restarts the opponent's clock. Is this an infringement of Article 7.5.3?"
What happens if both players have made an illegal move?	"-  white: 2.2. 1. There are 16 light-coloured pieces and 32 squares called white.
-  2. When capitalised, this also refers to the player of the white pieces.
-  zero tolerance: 6.7.1. Where a player must arrive at the chessboard before the start of the session.
-  50-move rule: 9.3. A player may claim a draw if the last 50 moves have been completed by each player without the movement of any pawn and without any capture.
-  75-move rule: 9.6.2. The game is drawn if the last 75 moves have been completed by each player without the movement of any pawn and without any capture."
What notation system is used for recording moves?	"## Article 8: The Recording of the Moves
- 8.1 How the moves shall be recorded:
- 8.1.1 In the course of play each player is required to record his/her own moves and those of his/her opponent in the correct manner, move after move, as clearly and legibly as possible, in one of the following ways:
- 8.1.1.1 by writing in the algebraic notation (Appendix C), on the paper 'scoresheet' prescribed for the competition.
- 8.1.1.2 by entering moves on the FIDE certified 'electronic scoresheet' prescribed for the competition.
- 8.1.2 It is forbidden to record the moves in advance, unless the player is claiming a draw according to Article 9.2, or 9.3 or adjourning a game according to Guidelines I.1.1
Notice that it is normally forbidden to record the move before playing it. Only in the case of a draw claim (Article 9.2. and 9.3) and adjourning is it allowed to do so.
Even if an opponent has only one legal move, this must not be recorded by the player in advance
- 8.1.3 A player may reply to his/her opponent's move before recording it, if he/she so wishes. He/She must record his/her previous move before making another.
- 8.1.4 The scoresheet shall be used only for recording the moves, the times of the clocks, offers of a draw, matters relating to a claim and other relevant data.
- 8.1.5 Both players must record the offer of a draw on the scoresheet with a symbol (=)."	"## Article 8: The Recording of the Moves
- 8.1 How the moves shall be recorded:
- 8.1.1 In the course of play each player is required to record his/her own moves and those of his/her opponent in the correct manner, move after move, as clearly and legibly as possible, in one of the following ways:
- 8.1.1.1 by writing in the algebraic notation (Appendix C), on the paper 'scoresheet' prescribed for the competition.
- 8.1.1.2 by entering moves on the FIDE certified 'electronic scoresheet' prescribed for the competition.
- 8.1.2 It is forbidden to record the moves in advance, unless the player is claiming a draw according to Article 9.2, or 9.3 or adjourning a game according to Guidelines I.1.1
Notice that it is normally forbidden to record the move before playing it. Only in the case of a draw claim (Article 9.2. and 9.3) and adjourning is it allowed to do so.
Even if an opponent has only one legal move, this must not be recorded by the player in advance
- 8.1.3 A player may reply to his/her opponent's move before recording it, if he/she so wishes. He/She must record his/her previous move before making another.
- 8.1.4 The scoresheet shall be used only for recording the moves, the times of the clocks, offers of a draw, matters relating to a claim and other relevant data.
- 8.1.5 Both players must record the offer of a draw on the scoresheet with a symbol (=)."
What are the exact conditions for a valid en passant capture?	"## 0. Introduction
- 0.1 The following regulations may be altered by the FIDE Council upon recommendation of the Qualification Commission (QC). For tournaments, changes will apply to those starting on or after the date upon which they become effective.
- 0.2 The tournaments to be rated shall be pre-registered by the federation in whose territory it is held and they will be responsible for the submission of results and rating fees. Council may additionally designate these rights and responsibilities to Affiliated Organisations that are representing an autonomous territory which is contained within no more than one Federation.
The tournament and its playing schedule must be registered:
- 0.2.1 Not later than 30 days before the tournament starts, if one of the players in the tournament is rated in excess of 2700, or a female player rated in excess of 2500.
- 0.2.2 Otherwise, three days before the tournament starts.
The QC Chairman may refuse to register a tournament.
Exceptions to permit tournaments to be rated even though it is registered later than the prescribed notice period may be granted:
- 0.2.3 Tournaments in category 0.2.1: With the approval of the President
- 0.2.4 Tournaments in category 0.2.2: With the approval of the QC Chairman
All tournaments played under Hybrid conditions as described in 2.1 must be approved individually by the QC Chairman.
In exceptional cases, the FIDE Council (taking into account the QC' advisory opinion) or FIDE President (in regards events with average rating more than 2700) has the right to make a decision to rate the tournaments or individual games that have not been submitted by the national federation."
What is the 50-move rule for claiming a draw?	"- 9.2.2 has just appeared, and the player claiming the draw has the move.
- 9.2.3 Positions are considered the same if and only if the same player has the move, pieces of the same kind and colour occupy the same squares and the possible moves of all the pieces of both players are the same. Thus positions are not the same if:
- 9.2.3.1 at the start of the sequence a pawn could have been captured en passant
- 9.2.3.2 a king had castling rights with a rook that has not been moved, but forfeited these after moving. The castling rights are lost only after the king or rook is moved.
Only the player whose move it is, and whose clock is running, is allowed to claim a draw in this way. If the procedure of a draw claim is correct, but the player forgets or doesn't know that he/she shall write his/her intended move, it is advisable that instead of rejecting the claim, the arbiter says 'Make your claim legal', if the player asks how he/she can make his/her claim legal, the arbiter can, according to article 11.2, explains conditions of a correct claim.
The correctness of a claim must be checked in the presence of both players. It is also advisable to replay the game and not to decide by only using the score sheets. If electronic boards are used it is possible to check it on the computer.
- 9.3 The game is drawn, upon a correct claim by a player having the move, if:
- 9.3.1 he/she indicates his/her move, which cannot be changed, by writing it on the paper scoresheet or entering it on the electronic scoresheet and declares to the arbiter his/her intention to make this move which will result in the last 50 moves by each player having been made without the movement of any pawn and without any capture, or"	"- 9.2.2 has just appeared, and the player claiming the draw has the move.
- 9.2.3 Positions are considered the same if and only if the same player has the move, pieces of the same kind and colour occupy the same squares and the possible moves of all the pieces of both players are the same. Thus positions are not the same if:
- 9.2.3.1 at the start of the sequence a pawn could have been captured en passant
- 9.2.3.2 a king had castling rights with a rook that has not been moved, but forfeited these after moving. The castling rights are lost only after the king or rook is moved.
Only the player whose move it is, and whose clock is running, is allowed to claim a draw in this way. If the procedure of a draw claim is correct, but the player forgets or doesn't know that he/she shall write his/her intended move, it is advisable that instead of rejecting the claim, the arbiter says 'Make your claim legal', if the player asks how he/she can make his/her claim legal, the arbiter can, according to article 11.2, explains conditions of a correct claim.
The correctness of a claim must be checked in the presence of both players. It is also advisable to replay the game and not to decide by only using the score sheets. If electronic boards are used it is possible to check it on the computer.
- 9.3 The game is drawn, upon a correct claim by a player having the move, if:
- 9.3.1 he/she indicates his/her move, which cannot be changed, by writing it on the paper scoresheet or entering it on the electronic scoresheet and declares to the arbiter his/her intention to make this move which will result in the last 50 moves by each player having been made without the movement of any pawn and without any capture, or"
When is move recording required according to FIDE Laws?	"## Article 8: The Recording of the Moves
- 8.1 How the moves shall be recorded:
- 8.1.1 In the course of play each player is required to record his/her own moves and those of his/her opponent in the correct manner, move after move, as clearly and legibly as possible, in one of the following ways:
- 8.1.1.1 by writing in the algebraic notation (Appendix C), on the paper 'scoresheet' prescribed for the competition.
- 8.1.1.2 by entering moves on the FIDE certified 'electronic scoresheet' prescribed for the competition.
- 8.1.2 It is forbidden to record the moves in advance, unless the player is claiming a draw according to Article 9.2, or 9.3 or adjourning a game according to Guidelines I.1.1
Notice that it is normally forbidden to record the move before playing it. Only in the case of a draw claim (Article 9.2. and 9.3) and adjourning is it allowed to do so.
Even if an opponent has only one legal move, this must not be recorded by the player in advance
- 8.1.3 A player may reply to his/her opponent's move before recording it, if he/she so wishes. He/She must record his/her previous move before making another.
- 8.1.4 The scoresheet shall be used only for recording the moves, the times of the clocks, offers of a draw, matters relating to a claim and other relevant data.
- 8.1.5 Both players must record the offer of a draw on the scoresheet with a symbol (=)."	"## Article 8: The Recording of the Moves
- 8.1 How the moves shall be recorded:
- 8.1.1 In the course of play each player is required to record his/her own moves and those of his/her opponent in the correct manner, move after move, as clearly and legibly as possible, in one of the following ways:
- 8.1.1.1 by writing in the algebraic notation (Appendix C), on the paper 'scoresheet' prescribed for the competition.
- 8.1.1.2 by entering moves on the FIDE certified 'electronic scoresheet' prescribed for the competition.
- 8.1.2 It is forbidden to record the moves in advance, unless the player is claiming a draw according to Article 9.2, or 9.3 or adjourning a game according to Guidelines I.1.1
Notice that it is normally forbidden to record the move before playing it. Only in the case of a draw claim (Article 9.2. and 9.3) and adjourning is it allowed to do so.
Even if an opponent has only one legal move, this must not be recorded by the player in advance
- 8.1.3 A player may reply to his/her opponent's move before recording it, if he/she so wishes. He/She must record his/her previous move before making another.
- 8.1.4 The scoresheet shall be used only for recording the moves, the times of the clocks, offers of a draw, matters relating to a claim and other relevant data.
- 8.1.5 Both players must record the offer of a draw on the scoresheet with a symbol (=)."
What are the conditions for a draw by insufficient material?	"- 5.2.2 The game is drawn when a position has arisen in which neither player can checkmate the opponent's king with any series of legal moves. The game is said to end in a 'dead position'. This immediately ends the game, provided that the move producing the position was in accordance with Article 3 and Articles 4.2 - 4.7.
- 5.2.3 The game is drawn upon agreement between the two players during the game, provided both players have made at least one move. This immediately ends the game.
This rule is applicable, only if Article 9.1.1 (not to agree to a draw before a specified number of moves by each player) is not in effect.
The best way to conclude a game is to write down the result on the score sheet (if there is any, see Article 8) and for both players to sign it. This then forms a legal document, but even then, things can go wrong."	"- 5.2.2 The game is drawn when a position has arisen in which neither player can checkmate the opponent's king with any series of legal moves. The game is said to end in a 'dead position'. This immediately ends the game, provided that the move producing the position was in accordance with Article 3 and Articles 4.2 - 4.7.
- 5.2.3 The game is drawn upon agreement between the two players during the game, provided both players have made at least one move. This immediately ends the game.
This rule is applicable, only if Article 9.1.1 (not to agree to a draw before a specified number of moves by each player) is not in effect.
The best way to conclude a game is to write down the result on the score sheet (if there is any, see Article 8) and for both players to sign it. This then forms a legal document, but even then, things can go wrong."
What are the arbiter's options when a player disturbs the opponent?	"However, there is the possibility for an arbiter or an organizer to specify in advance (in the regulations of the event) a less severe penalty for a violation of this article (perhaps a fine). They can also include in the regulations of the event the possibility of bringing such a device to the tournament provided that certain conditions are fulfilled: that it is completely switched off and stored in a separate bag, so that it is not in contact with the player and the player does not have access to the bag during the game, without the arbiter's permission (and he/she cannot take the bag with him to the toilet, and so on.).
A player who arrives after the start of a round should be given the opportunity to store his/her device before playing their first move, either with the organiser or placed in a bag, if this is allowed."	"However, there is the possibility for an arbiter or an organizer to specify in advance (in the regulations of the event) a less severe penalty for a violation of this article (perhaps a fine). They can also include in the regulations of the event the possibility of bringing such a device to the tournament provided that certain conditions are fulfilled: that it is completely switched off and stored in a separate bag, so that it is not in contact with the player and the player does not have access to the bag during the game, without the arbiter's permission (and he/she cannot take the bag with him to the toilet, and so on.).
A player who arrives after the start of a round should be given the opportunity to store his/her device before playing their first move, either with the organiser or placed in a bag, if this is allowed."
Can a player castle if the rook is attacked?	"## 3.8 There are two different ways of moving the king: 3.8.1 by moving to an adjoining square
<!-- image -->
3.8.2 by 'castling'. This is a move of the king and either rook of the same colour along the player's first rank, counting as a single move of the king and executed as follows: the king is transferred from its original square two squares towards the rook on its original square, then that rook is transferred to the square the king has just crossed.
<!-- image -->
Before white kingside castling Before black queenside castling
Before white queenside castling Before black kingside castling
<!-- image -->
After white kingside castling
<!-- image -->
After black queenside castling
After white queenside castling After black kingside castling
<!-- image -->
- 3.8.2.1 The right to castle has been lost:
- 3.8.2.1.1 If the king has already moved, or
- 3.8.2.1.2 With a rook that has already moved.
- 3.8.2.2 Castling is prevented temporarily:
- 3.8.2.2.1 if the square on which the king stands, or the square which it must cross, or the square which it is to occupy, is attacked by one or more of the opponent's pieces, or
- 3.8.2.2.2 if there is any piece between the king and the rook with which castling is to be effected.
- 3.9 The king in check:"	"## 3.8 There are two different ways of moving the king: 3.8.1 by moving to an adjoining square
<!-- image -->
3.8.2 by 'castling'. This is a move of the king and either rook of the same colour along the player's first rank, counting as a single move of the king and executed as follows: the king is transferred from its original square two squares towards the rook on its original square, then that rook is transferred to the square the king has just crossed.
<!-- image -->
Before white kingside castling Before black queenside castling
Before white queenside castling Before black kingside castling
<!-- image -->
After white kingside castling
<!-- image -->
After black queenside castling
After white queenside castling After black kingside castling
<!-- image -->
- 3.8.2.1 The right to castle has been lost:
- 3.8.2.1.1 If the king has already moved, or
- 3.8.2.1.2 With a rook that has already moved.
- 3.8.2.2 Castling is prevented temporarily:
- 3.8.2.2.1 if the square on which the king stands, or the square which it must cross, or the square which it is to occupy, is attacked by one or more of the opponent's pieces, or
- 3.8.2.2.2 if there is any piece between the king and the rook with which castling is to be effected.
- 3.9 The king in check:"
What are the default time penalties an arbiter can give?	"## A.5.5 The arbiter shall also call a flag fall, if he/she observes it.
- A.6 The regulations of an event shall specify whether Article A.4 or Article A.5 shall apply for the entire event.

## Appendix B. Blitz
- B.1 A 'blitz' game is one where all the moves must be completed in a fixed time of 10 minutes or less for each player; or the allotted time plus 60 times any increment is 10 minutes or less for each player .
According to the Tournament Regulations of an event the time control is 5 minutes for the whole game and 5 seconds increment for each move That is: for 60 moves we would get 5'+ (5'x60) = 5'+5' = 10'. According to Art. B.1 we have a Blitz game.
- B.2 The Competition Rules shall apply if:
- B.2.1 one arbiter supervises one game and
- B.2.2 each game is recorded by the arbiter or his/her assistant and, if possible, by electronic means.
- B.2.3 The player may at any time, when it is his/her move, ask the arbiter or his/her assistant to show him/her the scoresheet. This may be requested a maximum of five times in a game. More requests shall be considered as a distraction of the opponent.
If the Competition Rules are used, they must apply to every round. They cannot be introduced, for example, only for the final.
In both Blitz and Rapid Chess, if the player asks from the Arbiter to see the score sheet, the clock should not be paused.
- B.3 Otherwise, play shall be governed by the Rapid chess Laws as in Article A.2, A.3 and A.5.
- B.4 The regulations of an event shall specify whether Article B.2 or Article B.3 shall apply for the entire event."
What should happen when an illegal move is discovered?	"If a game with reversed colours has ended by normal means (for example checkmate, resignation or draw by agreement), in less than ten (10) moves by both players, then the result stands.
- 7.4 Displaced pieces:
- 7.4.1 If a player displaces one or more pieces, he/she shall re-establish the correct position in his/her own time.
- 7.4.2 If necessary, either the player or h i s / h e r opponent shall pause the chessclock and ask for the arbiter's assistance.
- 7.4.3 The arbiter may penalise the player who displaces the pieces.
Player A's clock is running when Player B accidentally displaces a piece. Player A should not restart Player B's clock but should pause the clock and summon the arbiter. The arbiter may then either add time to A's clock or subtract time from B's clock. If A restarts B's clock this creates several problems with increments being wrongly added and the move counter affected.
Most problems happen in Rapid Chess or Blitz. The penalty should be according to Article 12.9. A player should not be forfeited immediately for accidentally displacing a piece. If he/she did it deliberately, perhaps in order to gain time, or does it several times, that is different.
- 7.5 Illegal moves:
- 7.5.1 An illegal move is completed once the player has pressed his/her clock. If during a game it is found that an illegal move has been completed, the position immediately before the irregularity shall be reinstated. If the position immediately before the irregularity cannot be determined, the game shall continue from the last identifiable position prior to the irregularity. Articles 4.3 and 4.7 apply to the move replacing the illegal move. The game shall then continue from this reinstated position."	"If a game with reversed colours has ended by normal means (for example checkmate, resignation or draw by agreement), in less than ten (10) moves by both players, then the result stands.
- 7.4 Displaced pieces:
- 7.4.1 If a player displaces one or more pieces, he/she shall re-establish the correct position in his/her own time.
- 7.4.2 If necessary, either the player or h i s / h e r opponent shall pause the chessclock and ask for the arbiter's assistance.
- 7.4.3 The arbiter may penalise the player who displaces the pieces.
Player A's clock is running when Player B accidentally displaces a piece. Player A should not restart Player B's clock but should pause the clock and summon the arbiter. The arbiter may then either add time to A's clock or subtract time from B's clock. If A restarts B's clock this creates several problems with increments being wrongly added and the move counter affected.
Most problems happen in Rapid Chess or Blitz. The penalty should be according to Article 12.9. A player should not be forfeited immediately for accidentally displacing a piece. If he/she did it deliberately, perhaps in order to gain time, or does it several times, that is different.
- 7.5 Illegal moves:
- 7.5.1 An illegal move is completed once the player has pressed his/her clock. If during a game it is found that an illegal move has been completed, the position immediately before the irregularity shall be reinstated. If the position immediately before the irregularity cannot be determined, the game shall continue from the last identifiable position prior to the irregularity. Articles 4.3 and 4.7 apply to the move replacing the illegal move. The game shall then continue from this reinstated position."
What is the exact Elo rating requirement to become a FIDE Master?	"## 0.5 Definitions
In the following text some special terms are used.
Rating refers to a player's Standard FIDE rating
Rating performance is based on the player's result and average rating of opponents (see 1.4.6 to 1.4.8).
Title performance is a result that gives a performance rating as defined in 1.4.6 to 1.4.9 against the minimum average of the opponents, for that title.
GM performance is ≥ 2600 performance against opponents with average rating ≥ 2380.
IM performance is ≥ 2450 performance against opponents with average rating ≥ 2230.
WGM performance is ≥ 2400 performance against opponents with average rating ≥ 2180.
WIM performance is ≥ 2250 performance against opponents with average rating ≥ 2030.
Title norm is a title performance fulfilling additional requirements concerning the mix of titled players and nationalities as specified in articles 1.4.2 to 1.4.5.
Direct title (automatic title) is a title gained by achieving a certain place or result in a tournament. On application by the player's federation and confirmation by the Qualification Commission, such titles are awarded automatically by FIDE.
Until 2014, a nine game GM performance in the Olympiad was considered to be a 13 game GM norm. Now, there is no such rule. The current rule is that a player should have a rating performance of at least 2600 to satisfy one of the conditions to get a GM norm in a tournament. For other norms also, the player should have a specific rating performance."	"## 0.5 Definitions
In the following text some special terms are used.
Rating refers to a player's Standard FIDE rating
Rating performance is based on the player's result and average rating of opponents (see 1.4.6 to 1.4.8).
Title performance is a result that gives a performance rating as defined in 1.4.6 to 1.4.9 against the minimum average of the opponents, for that title.
GM performance is ≥ 2600 performance against opponents with average rating ≥ 2380.
IM performance is ≥ 2450 performance against opponents with average rating ≥ 2230.
WGM performance is ≥ 2400 performance against opponents with average rating ≥ 2180.
WIM performance is ≥ 2250 performance against opponents with average rating ≥ 2030.
Title norm is a title performance fulfilling additional requirements concerning the mix of titled players and nationalities as specified in articles 1.4.2 to 1.4.5.
Direct title (automatic title) is a title gained by achieving a certain place or result in a tournament. On application by the player's federation and confirmation by the Qualification Commission, such titles are awarded automatically by FIDE.
Until 2014, a nine game GM performance in the Olympiad was considered to be a 13 game GM norm. Now, there is no such rule. The current rule is that a player should have a rating performance of at least 2600 to satisfy one of the conditions to get a GM norm in a tournament. For other norms also, the player should have a specific rating performance."
When is move recording required according to FIDE Laws?	"| Article 9: The Drawn Game.....................................................................................................................................31 | Article 9: The Drawn Game.....................................................................................................................................31 | |
| Article 10: Points.....................................................................................................................................................34 | Article 10: Points.....................................................................................................................................................34 | |
| Article 11: The Conduct of the Players....................................................................................................................35 | Article 11: The Conduct of the Players....................................................................................................................35 | |
| Article 12: The Role of the Arbiter (see Preface) ....................................................................................................38 | Article 12: The Role of the Arbiter (see Preface) ....................................................................................................38 | |
| Appendix A. Rapid chess.........................................................................................................................................40 | Appendix A. Rapid chess.........................................................................................................................................40 | |"
When can an arbiter declare a game drawn due to insufficient material?	"- 5.2.2 The game is drawn when a position has arisen in which neither player can checkmate the opponent's king with any series of legal moves. The game is said to end in a 'dead position'. This immediately ends the game, provided that the move producing the position was in accordance with Article 3 and Articles 4.2 - 4.7.
- 5.2.3 The game is drawn upon agreement between the two players during the game, provided both players have made at least one move. This immediately ends the game.
This rule is applicable, only if Article 9.1.1 (not to agree to a draw before a specified number of moves by each player) is not in effect.
The best way to conclude a game is to write down the result on the score sheet (if there is any, see Article 8) and for both players to sign it. This then forms a legal document, but even then, things can go wrong."	"- 5.2.2 The game is drawn when a position has arisen in which neither player can checkmate the opponent's king with any series of legal moves. The game is said to end in a 'dead position'. This immediately ends the game, provided that the move producing the position was in accordance with Article 3 and Articles 4.2 - 4.7.
- 5.2.3 The game is drawn upon agreement between the two players during the game, provided both players have made at least one move. This immediately ends the game.
This rule is applicable, only if Article 9.1.1 (not to agree to a draw before a specified number of moves by each player) is not in effect.
The best way to conclude a game is to write down the result on the score sheet (if there is any, see Article 8) and for both players to sign it. This then forms a legal document, but even then, things can go wrong."
When can a player claim a draw by the 50-move rule?	"| 35 | 29 | V. Lukiyanchuk | 2358 UKR 61 w 0 52 b 1 57 w 1⁄2 45 b 1⁄2 23 w 0 60 b 1 66 w 1 32 b 1⁄2 30 w 1⁄2 5 | 0 | 36 | | | 391⁄2 | 3 | | | 2240 |
| | | | | | | | | 4 | | -14,7 | 2197 | |
| 36 | 59 | FM C. Patrascu | 2227 ROU 29 w 0 83 b 1 43 w 1⁄2 32 b 1⁄2 27 w 0 59 b 1 50 w 1⁄2 44 b 1⁄2 53 w 1 5 | 0 | | 351⁄237 | 4 | 3 | | 20,1 | 2302 | 2329 |"
What are the requirements for a valid claim of threefold repetition?	"## 9.1.2.3 A claim of a draw under Article 9.2 or 9.3 shall be considered to be an offer of a draw.
The correct sequence of a draw offer is clear:
1. make a move
2. offer of a draw
3. press the clock
If a player deviates from this order, the offer still stands though it has been offered in an incorrect manner.
The arbiter in this case has to penalise the player, according to Article 12.9. No conditions can be attached to a draw offer."	"## 9.1.2.3 A claim of a draw under Article 9.2 or 9.3 shall be considered to be an offer of a draw.
The correct sequence of a draw offer is clear:
1. make a move
2. offer of a draw
3. press the clock
If a player deviates from this order, the offer still stands though it has been offered in an incorrect manner.
The arbiter in this case has to penalise the player, according to Article 12.9. No conditions can be attached to a draw offer."
What happens when a player completes a move but the position remains impossible?	"It is very important that the irregularity must be discovered during the game. After the players have signed the scoresheets or it is clear in another way that the game is over, corrections are not possible. The result stands.
When the irregularity is discovered during the game the game, the game restarts from the restored position. The 'touch move' rule applies so the piece to be played should be, if possible, the one first touched, either the piece illegally moved or the piece captured.
If the irregularity was caused by a check being missed the touched piece should be used to block the check or capture the checking piece, if possible.
A move cannot be declared illegal until the player has completed his/her move by pressing his/her clock. So, the player can correct his/her move without being penalized, even if he/she had already released the piece on the board, provided he/she hasn't pressed the clock. Of course, he/she must comply with the relevant parts of article 4.
If an arbiter observes an illegal move he/she must always intervene immediately. He/She should not wait for a claim to be submitted by a player.
- 7.5.2 If the player has moved a pawn to the furthest distant rank, pressed the clock, but not replaced the pawn with a new piece, the move is illegal. The pawn shall be replaced by a queen of the same colour as the pawn.
- 7.5.3 If the player presses the clock without making a move, it shall be considered and penalised as if an illegal move.
If a player restarts the opponent's clock instead of pausing it an arbiter may regard this as an accident and punish it less severely.
For example: Player B makes an illegal move. Player A, instead of pausing the clock, restarts the opponent's clock. Is this an infringement of Article 7.5.3?"	"It is very important that the irregularity must be discovered during the game. After the players have signed the scoresheets or it is clear in another way that the game is over, corrections are not possible. The result stands.
When the irregularity is discovered during the game the game, the game restarts from the restored position. The 'touch move' rule applies so the piece to be played should be, if possible, the one first touched, either the piece illegally moved or the piece captured.
If the irregularity was caused by a check being missed the touched piece should be used to block the check or capture the checking piece, if possible.
A move cannot be declared illegal until the player has completed his/her move by pressing his/her clock. So, the player can correct his/her move without being penalized, even if he/she had already released the piece on the board, provided he/she hasn't pressed the clock. Of course, he/she must comply with the relevant parts of article 4.
If an arbiter observes an illegal move he/she must always intervene immediately. He/She should not wait for a claim to be submitted by a player.
- 7.5.2 If the player has moved a pawn to the furthest distant rank, pressed the clock, but not replaced the pawn with a new piece, the move is illegal. The pawn shall be replaced by a queen of the same colour as the pawn.
- 7.5.3 If the player presses the clock without making a move, it shall be considered and penalised as if an illegal move.
If a player restarts the opponent's clock instead of pausing it an arbiter may regard this as an accident and punish it less severely.
For example: Player B makes an illegal move. Player A, instead of pausing the clock, restarts the opponent's clock. Is this an infringement of Article 7.5.3?"
What happens if both players have made an illegal move?	"In Rapid and Blitz also the increment obtained by pressing the clock has to be reduced accordingly.
The player is forfeited if he/she completes two (2) of ANY of the above illegal moves. However when there are two (2) illegal moves in one move (for example illegal castling made by two hands, illegal promotion made by two hands and illegal capturing made by two hands), they count as one (1) illegal move and the player shall not be forfeited, unless it is the second such transgression.
A different situation occurs when a player who previously committed an illegal move, makes another one immediately after the game restarted (which means, at same move number as before).
For example: A white pawn is on d6 and black king on d7, now the player played Ke7 and completed the move. After applying the penalty for the illegal move, he/she played Kc7. They are considered to be two illegal moves.
Capturing of the opponent's king is illegal and is penalized accordingly. Two consecutive moves by a player may be penalized according to article 12.9"	"In Rapid and Blitz also the increment obtained by pressing the clock has to be reduced accordingly.
The player is forfeited if he/she completes two (2) of ANY of the above illegal moves. However when there are two (2) illegal moves in one move (for example illegal castling made by two hands, illegal promotion made by two hands and illegal capturing made by two hands), they count as one (1) illegal move and the player shall not be forfeited, unless it is the second such transgression.
A different situation occurs when a player who previously committed an illegal move, makes another one immediately after the game restarted (which means, at same move number as before).
For example: A white pawn is on d6 and black king on d7, now the player played Ke7 and completed the move. After applying the penalty for the illegal move, he/she played Kc7. They are considered to be two illegal moves.
Capturing of the opponent's king is illegal and is penalized accordingly. Two consecutive moves by a player may be penalized according to article 12.9"
How much time is added after each move in a rapid game?	supervising FPO; ● FPO Title Application Form. The Fair Play Supervisor fee is specified in FPL Internal Regulations, but in any case, shall be at no cost for the Organizer. Supervision guarantees that the | 1.2 Fair Play Officer (FPO) 1.2.1 Basic Requirements ● The FPO must be at least 21 years old ● Hold the FPE title for at least 2 years ● Attend an FPO seminar and pass the FPO exam ● 4 FPO Norms 1.2.2 Obtaining FPO Norms
